name,location,skills
Data Analyst,Bangalore,"Python, pandas, SQL, Excel"
Frontend Intern,Remote,"React, JavaScript, CSS"
ML Intern,Remote,"machine learning, Python, sklearn"
Backend Developer,Hyderabad,"Node.js, Express, MongoDB"
Mobile App Intern,Chennai,"Kotlin, Android, Java"
iOS Developer,Mumbai,"Swift, iOS development, Xcode"
Cybersecurity Analyst,Remote,"Cybersecurity, Linux, penetration testing"
Cloud Engineer,Delhi,"AWS, Docker, Kubernetes"
Business Analyst,Pune,"Business analysis, Excel, PowerBI"
UI/UX Designer,Remote,"UI/UX, Figma, Adobe XD"
